Numbering,Source,HusbandName,HusbandTribe ,HusbandSubtribe1,HusbandSubtribe2,HusbandGeneration ,WifeName,WifeTribe,WifeSubtribe1,WifeSubtribe2,WifeSubtribe3,WifeSubtribe4,WifeGeneration,Sons,Daughters,H Lat,H Lng,W Lat,W Lng
48,NQ15,???? ?? ??? ????,Quraysh,Qusayy,Hashim,2,???? ??? ???? ?? ??? ?? ???? ?? ???? ?? ???? ?? ??? ?? ???? ?? ?????? ??? ???? ?? ????? ?? ???? ?? ??????,Khazraj,Najjar,,,,,1,1,,,,
51,NQ16,???? ?? ??? ????,Quraysh,Qusayy,Hashim,2,????? ??? ??? ?? ???? ?? ??? ?????? ?? ??? ???? ?? ??? ?? ??? ?? ??? ?? ???? ?? ????? ?? ?????,Quda'a,,,,,,1,,,,,
55,NQ16,???? ?? ??? ????,Quraysh,Qusayy,Hashim,2,??? ??? ???? ?? ????? (?? ???? NQ92) ?? ??????,Khazraj,,,,,,2,,,,,
54,NQ16,???? ?? ??? ????,Quraysh,Qusayy,Hashim,2,????/?????? ??? ???? ?? ???? ?? ???????/????? ?? ??? ?? ???? ?? ????? ?? ????? (?? ???? ?? ???? ?? ????? ?? ????? ????? ?? ????? ?? ???? ?? ????? JMY 439),Khuza'a,,,,,,1,,,,,
58,NQ16,???? ?? ??? ????,Quraysh,Qusayy,Hashim,2,????? ??? ??? ????/???? ?? ??? ???/?????? ?? ???? ?? ????? ?? ??? ?? ????? ?? ???? ?? ?????,Qays Aylan,Hawazin,,,,,,2,,,,
59,NQ16,???? ?? ??? ????,Quraysh,Qusayy,Hashim,2,?? ???? ??? ???? ?? ?????? ?? ???? ?? ???? ?? ??? ?? ???? ?? ???? ?? ??? ?? ?????,Thaqif,,,,,,,1,,,,
571,NQ90,??? ???? ?? ???? ?? ??? ???? ?? ???,Quraysh,Qusayy,Hashim,3,Unnamed ?? ??? ???? ?? ?????,Kinana,Malik b. Kinana,,,,,2,,,,,
569,NQ90,??? ???? ?? ???? ?? ??? ???? ?? ???,Quraysh,Qusayy,Hashim,3,???? ??? ???? ?? ??? ???? ?? ??? ????? ?? ???,Quraysh,Qusayy,Abd al-Dar,,,4,1,1,,,,
581,NQ91,??? ?? ????,Quraysh,Qusayy,Hashim,3,????? ??? ??? ?? ????? ?? ???? ?? ??? ?? ???? ?? ???? ?? ???,Quraysh,Amir b. Lu'ayy,,,,3,,1,,,,
81,NQ18,??? ??????? ?? ????,Quraysh,Qusayy,Hashim,3,Unnamed woman,Khuza'a,,,,,,1,,,,,
78,NQ18,??? ??????? ?? ????,Quraysh,Qusayy,Hashim,3,???? ??? ???? ?? ??? ???? ?? ???? ?? ????? ?? ???? ?? ?????,Khuza'a,,,,,,1,,,,,
76,NQ18,??? ??????? ?? ????,Quraysh,Qusayy,Hashim,3,???? ??? ???? ?? ???? ?? ???? ?? ???? ?? ????? ?? ???? ?? ????? ?? ?????? ?? ??? ?? ?????,Qays Aylan,Amir b. Sa'sa'a  ,,,,,2,,,,,
75,NQ18,??? ??????? ?? ????,Quraysh,Qusayy,Hashim,3,????? ??? ???? ?? ???? ?? ???? ?? ???? ?? ???? ?? ????? ?? ???? ?? ??? ?????? ??????? ?? ??? ???? ?? ????,Qirrayah,,,,,,2,,,,,
64,NQ17,??? ??????? ?? ????,Quraysh,Qusayy,Hashim,3,????? ??? ???? ?? ???? ?? ????? ?? ????? ?? ???? ?? ???,Quraysh,Makhzum,,,,4,4,4,,,,
68,NQ17,??? ??????? ?? ????,Quraysh,Qusayy,Hashim,3,???? ??? ???? ?? ??? ???? ?? ???? (?? ????),Quraysh,Zuhra,,,,3,3,1,,,,
572,NQ91,???? ?? ????,Quraysh,Qusayy,Hashim,3,??? ?????? ?? ??? ???? ?? ???,Quraysh,Qusayy,,,,3,1,,,,,
229,NQ40,??? ???? ?? ??? ??????,Quraysh,Qusayy,Hashim,4,????? ??? ??? ?? ???? ?? ??? ???? ?? ???,Quraysh,Qusayy,Hashim,,,4,4,2,,,,
775,NQ123,??? ???/??? ????? ?? ??? ??????,Quraysh,Qusayy,Hashim,4,?? ???? ??? ??? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,,,5,,,,,,
573,NQ91,?????? ?? ???? ?? ????,Quraysh,Qusayy,Hashim,4,???? ??? ??? ?? ????,Quraysh,Qusayy,Hashim,,,4,,3,,,,
549,NQ85,?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,4,???? ??? ??? ?? ???? ?? ??? ????? ?? ????? ?? ????? ?? ????? ?? ?????? ?? ???,Quraysh,Harith b. Fihr,,,,2,6,1,,,,
105,NQ20,??? ???? ?? ??? ?????? ?? ????,Quraysh,Qusayy,Hashim,4,???? ??? ??? ?? ??? ???? ?? ???? ?? ????,Quraysh,Zuhra,,,,3,1,,,,,
98,NQ20,???? ?? ???? ?? ??? ???? ?? ??? ????? ?? ???,Quraysh,Qusayy,Hashim,4,???? ??? ??? ?????? ?? ????,Quraysh,Qusayy,Hashim,,,4,,1,,,,
230,NQ40,??? ????? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,5,????? ??? ??? ???? ?? ??? ?????? ,Quraysh,Qusayy,Hashim,,,5,,,,,,
99,NQ20,????? ?? ??? ?????? ?? ???? ?? ??? ???? ?? ??? ????? ?? ???,Quraysh,Qusayy,Hashim,5,????? ??? ???? ?? ???? ?? ??? ???? ?? ??? ????? ?? ???,Quraysh,Qusayy,Abd al-Dar,,,5,,1,,,,
521,NQ80,???? ?? ??? ????,Quraysh,Qusayy,Hashim,5,????? ??? ???? ?? ???? ?? ??? ?? ???? ?? ????? ?? ???? ?? ????? ?? ???? ?? ?????? ?? ??? ?? ??? ?? ??? ???? ?? ????? ?? ???? ?? ??? ?? ???? ? ?? ???? ???? ?? ?????,Anmar,Khatham,,,,,3,,,,,
583,NQ91,???? ?? ??? ?? ????,Quraysh,Qusayy,Hashim,5,Unnamed,Quraysh,Zuhra,,,,,1,,,,,
558,NQ87,????? ?? ?????? ?? ??? ?????? ,Quraysh,Qusayy,Hashim,5,?? ????? ??? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,,,5,9,2,,,,
124,NQ22,???? ?? ??? ???,Quraysh,Qusayy,Hashim,5,???? ??? ????,Quraysh,Qusayy,Hashim,,,6,,,,,,
125,NQ22,????? ?? ??? ???,Quraysh,Qusayy,Hashim,5,?? ????? ??? ????  ,Quraysh,Qusayy,Hashim,,,6,,,,,,
541,NQ84,???? ?? ??? ????,Quraysh,Qusayy,Hashim,5,Unnamed of Abu Bakr b. Kilab b. Rabi'a,Qays Aylan,Amir b. Sa'sa',Abu Bakr b. Kilab b. Rabi'a,,,,2,,,,,
540,NQ84,???? ?? ??? ????,Quraysh,Qusayy,Hashim,5,????? ??? ???? ?? ??? ???? ?? ???? ?? ????,Qays Aylan,Amir b. Sa'sa',Nufayl b. Amru b. Kilab,,,,,,,,,
92,NQ19,???? ?????,Quraysh,Qusayy,Hashim,5,???? ??? ??? ?? ???? ?? ???? ?? ???? ?? ??? ?? ???? ?? ??? ?? ????? ?? ??? ?? ?????,Asad b. Khuzayma,,,,,0,,,,,,
114,NQ21,???? ?????,Quraysh,Qusayy,Hashim,5,????? ??? ????? ?? ??????? ???????,Egyptian,,,,,,1,,,,,
762,NQ121,???? ?????,Quraysh,Qusayy,Hashim,5,"?????? ??? ?????? ?? ??? ?? ???? ?? ????? ?? ????? ?? ??? ???? ?? ???? ?? ???? (?? ?????NQ 31, 37)",Qays Aylan,Amir b. Sa'sa'a,,,,,,,,,,
633,NQ100,???? ?????,Quraysh,Qusayy,Hashim,5,?? ????? ??? ??? ????? ?? ???,Quraysh,Qusayy,Umayyad,Sufyanid,,5,,,,,,
1675,NQ316,???? ?????,Quraysh,Qusayy,Hashim,5,?? ???? ??? ??? ???? ?? ???????,Quraysh,Makhzum,,,,5,,,,,,
1832,NQ348,???? ?????,Quraysh,Qusayy,Hashim,5,???? ??? ??? ?? ??????,Quraysh,Adi b. Ka'b,,,,7,,,,,,
113,NQ21,???? ?????,Quraysh,Qusayy,Hashim,5,????? ??? ????? ?? ??? ?? ??? ????? ?? ???,Quraysh,Qusayy,Asad,,,4,2,4,,,,
2236,NQ422,???? ?????,Quraysh,Qusayy,Hashim,5,???? ??? ???? ?? ???,Quraysh,Amir b. Lu'ayy,,,,5,,,,,,
1476,NQ276,???? ?????,Quraysh,Qusayy,Hashim,5,????? ???  ??? ??? ?????? ?? ??? ????? ?? ???? ?? ???? ?? ??? ?? ??? ?? ??? ?? ???,Quraysh,Taym b. Murra,,,,6,,,,,,
551,NQ86,???? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,5,????? ??? ???? ?? ?????/???? ?? ??? ???? ?? ???? ?? ???? ?? ???? ?? ??? ?? ?????,Azd,Azd,,,,,6,,,,,
250,NQ45,??? ??????/??? ???? ?? ??? ????? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,6,???? ??? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,,6,,,,,,
552,NQ86,?????? ?? ???? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,6,??? ??? ??? ????? ?? ???,Quraysh,Qusayy,Umayyad,Sufyanid,,6,1,,,,,
267,NQ46,????? ?? ??? ???? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,6,????? ??? ???,Quraysh,Qusayy,Hashim,Alid,,6,,,,,,
563,NQ88,?????? ?? ????? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,6,?? ???? ??? ???? ?? ???? ?? ??????,Khazraj,,,,,,1,1,,,,
565,NQ88,?????? ?? ????? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,6,??? ???? ??? ????? ?? ???? ?? ????? ?? ???? ?? ??? ?? ???? ?? ???? ?? ??? ?? ???,Quraysh,Adi b. Ka'b,,,,6,3,,,,,
142,NQ28,?????? ?? ???? ?? ??? ??? ?? ??? ??????,Quraysh,Qusayy,Hashim,6,???? ??? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,Abbasid,,5,1,,,,,
249,NQ45,???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,6,?? ?????? ??? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,,6,,,,,,
262,NQ45,??? ?????? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,6,????? ??? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,,6,2,,,,,
258,NQ45,??? ???? ?????? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,6,?? ?????/????? ?????? ??? ???,Quraysh,Qusayy,Hashim,Alid,,6,,1,,,,
256,NQ45,??? ???? ?????? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,6,?? ???? ??? ??? ?? ??? ???? ?? ??? ??????,Quraysh,Qusayy,Hashim,Alid,,6,3,1,,,,
257,NQ45,??? ???? ?????? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,6,?????? ??? ??? ,Quraysh,Qusayy,Hashim,Alid,,6,1,,,,,
531,NQ83,??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,6,??? ???? ?? ???? ?? ??? ?? ????,Bakr b. Wa'il,,,,,,4,,,,,
538,NQ83,??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,6,??????? ??? ???? ?? ??? ??? ?? ????,Ghatafan,Abs b. Baghid,,,,,1,,,,,
530,NQ83,??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,6,??? ?????? ?? ???? ???????,Ghatafan,Fazara,,,,,2,,,,,
537,NQ83,??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,6,???? ??? ??? ???? ?? ??? ?? ??? ???? ?? ????,Khatham,,,,,,1,2,,,,
132,NQ25,??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,6,?? ????? ??? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,,6,,,,,,
133,NQ25,??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,6,???? ??? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,,6,1,1,,,,
241,NQ44,??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,6,???? ??? ????? ?? ???? ?? ???? ?? ???? ?? ???? ?? ???? ?? ???? ?? ????,Tamim,,,,,,1,2,,,,
559,NQ87,??? ?????? ?? ????? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,6,Unnamed - ??? ?? ?????,Hamdan,,,,,,1,,,,,
152,NQ29,??? ?? ??? ???? ?? ????,Quraysh,Qusayy,Hashim,6,????? ??? ??? ???? ?? ????,Quraysh,Qusayy,Hashim,Abbasid,,6,,,,,,
131,NQ25,??? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,6,?? ????? ??? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,,6,,,,,,
130,NQ25,???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,6,?? ????? ??? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,,6,,,,,,
253,NQ45,???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,6,???? ?????? ??? ??? ,Quraysh,Qusayy,Hashim,Alid,,6,3,,,,,
252,NQ45,???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,6,???? ?????? ??? ???,Quraysh,Qusayy,Hashim,Alid,,6,3,,,,,
525,NQ82,?????? ?? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,7,?? ????? ??? ??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,,,7,,1,,,,
555,NQ86,??? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Hashim,7,???? ??? ???? ?? ??? ??? ?? ??? ?????? ?? ????,Quraysh,Qusayy,Hashim,,,6,1,,,,,
557,NQ87,??? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Hashim,7,??? ??? ???? ?? ???? ?? ????? ?? ??? ?????,Quraysh,Qusayy,Asad,,,5(6),1,,,,,
264,NQ46,???? ?? ??? ???? ?? ????,Quraysh,Qusayy,Hashim,7,????? ??? ???,Quraysh,Qusayy,Hashim,Alid,,6,,1,,,,
299,NQ52,?????? ?? ??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,7,?????  ??? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,8,2,2,,,,
1182,NQ202,??? ???? ?? ????? ?? ???? ?? ????? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,8,????? ??? ???? ???? ?? ??? ?????? ?? ?????? ?? ??? ?? ???? ?? ??? ????,Quraysh,Qusayy,Nawfal,,,7,,Girls,,,,
366,NQ62,??? ???? ?? ?????? ?? ??? ???? ?? ???? (?? ??? ????),Quraysh,Qusayy,Hashim,8,???? ??? ??? ?????? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,,,,,,,
359,NQ62,???? ?? ?????? ?? ??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,8,???? ??? ??? ?????? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,8,,,,,,
485,NQ77,???? ?? ????? ?? ??? ?? ??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,9,????? ??? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,,8,1,,,,,
1884,NQ359,??? ???? ??? ?????? ?? ???? ?? ??? ?? ??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,9,???? ?????? ??? ??? ?????? ?? ??? ???? ?? ??? ???? ?? ??? ?? ?????? ?? ???? ?? ??? ????? ?? ???? ?? ??? ???? ?? ??? ?? ???? ?? ??? ?? ??? ?? ??? ?? ???? ?? ???,Quraysh,Adi b. Ka'b,,,,10,,,,,,
427,NQ67,????? ?? ??? ?? ???? ?? ????? ?? ??? ?? ??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,11,???? ??? ???? ?? ??? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,1,,,,,
426,NQ67,?????? ?? ???? ?? ??????? ?? ???? ?? ??? ?? ??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,11,???? ??? ???? ?? ??? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,,,,,,
