Numbering,Source,HusbandName,HusbandTribe ,HusbandSubtribe1,HusbandSubtribe2,HusbandGeneration,WifeTribe,WifeSubtribe1,WifeSubtribe2,WifeSubtribe3,WifeSubtribe4,,WifeGeneration,Sons,Daughters,H Lat,H Lng,W Lat,W Lng
630,NQ100,???? ?????? ?? ??? ???,Quraysh,Qusayy,Umayyad,3,????? ??? ????? ?? ?????? ?? ???? ?? ?????? ?? ???? ?? ??? ?? ??? ?? ???? ?? ???? ?? ???? ?? ??? ?? ??? ?? ????? ?? ???,Lakhmid,,,,,,1,,,,,
622,NQ99,???? ?????? ?? ??? ???,Quraysh,Qusayy,Umayyad,3,???? ??? ???? ?? ???? ?? ????? ?? ???? ?? ????? ?? ?????? ?? ??? ?? ?????,Qays Aylan,Amir b. Sa'sa'a,,,,,4,3,,,,
628,NQ100,???? ?????? ?? ??? ???,Quraysh,Qusayy,Umayyad,3,??? ??? ??? ????? ?? ??? ????? ?? ????? ?? ????? ?? ????? ?? ?????? ?? ???,Quraysh,Harith b. Fihr,,,,1,6,1,,,,
631,NQ100,??? ?????? ?? ???? ?????? ?? ??? ???,Quraysh,Qusayy,Umayyad,4,???? ??? ??? ????? ?? ????? ?? ??? ?? ???? ?? ???? ?? ??? ?? ???,Quraysh,Adi b. Ka'b,,,,4,4,2,,,,
634,NQ100,??? ?????? ?? ???? ?????? ?? ??? ???,Quraysh,Qusayy,Umayyad,4,???? ??? ?????? ?? ??? ?? ???? ?? ??? ?? ?????,Quraysh,Makhzum,,,,5,2,1,,,,
637,NQ101,??? ?????? ?? ???? ?????? ?? ??? ???,Quraysh,Qusayy,Umayyad,4,???? ??? ????? ?? ??? ???,Quraysh,Qusayy,Abd Shams,,,4,,1,,,,
638,NQ101,??? ?????? ?? ???? ?????? ?? ??? ???,Quraysh,Qusayy,Umayyad,4,???? ??? ???? ?? ???? ?? ??? ????,Thaqif,,,,,,1,1,,,,
1656,NQ312,??? ????? ?? ????,Quraysh,Qusayy,Umayyad,4,???? ??? ??? ?? ??? ????? ?? ???,Quraysh,Qusayy,Asad,,,3,,1,,,,
1133,NQ187,??? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,4,???? ??? ???? ?? ???? ?? ???? ?? ??? ???? ?? ????,Thaqif,,,,,,,,,,,
870,NQ135,??? ???? ?? ????,Quraysh,Qusayy,Umayyad,4,???? ??? ???? ?? ???? ?? ????? ?? ???? ?? ?????,Qays Aylan,Amir b. Sa'sa'a,,,,,1,,,,,
876,NQ137,??? ???? ?? ????,Quraysh,Qusayy,Umayyad,4,???? ??? ??????? ?? ?????? ?? ???? ?? ?????? ?? ???? ?? ???? ?? ??? ?? ????,Thaqif,,,,,,3,3,,,,
1090,NQ174,?????? ?? ????,Quraysh,Qusayy,Umayyad,4,???? ??? ?????? ?? ??? ????? ?? ???? ?? ???? ?? ??? (?? ??? ?? ??? ),Kinana,Layth,,,,,1,2,,,,
760,NQ121,??? ?? ????,Quraysh,Qusayy,Umayyad,4,???? ??? ??? ?? ???? ?? ????? ?? ????? ?? ??? ???? ?? ???? ?? ???? ?? ?????,Qays Aylan,Amir b. Sa'sa'a,,,,,1,2,,,,
766,NQ123,??? ?? ????,Quraysh,Qusayy,Umayyad,4,?? ???? ??? ???(??) ?????? ?? ????,Quraysh,Zuhra,,,,3,,1,,,,
765,NQ123,??? ?? ????,Quraysh,Qusayy,Umayyad,4,Unnamed,Tamim,,,,,,1,1,,,,
770,NQ123,??? ?? ????,Quraysh,Qusayy,Umayyad,4,????? ??? ???? ?? ???? ??????,Thaqif,,,,,,2,1,,,,
1165,NQ200,????? ?? ???? (?? ??? ??? NQ429),Quraysh,Qusayy,Umayyad,4,?????? ??? ?????? ?? ????,Unknown,,,,,,1,,,,,
869,NQ135,???? ?? ????,Quraysh,Qusayy,Umayyad,4,?? ???? ??? ???(??) ?????? ?? ????,Quraysh,Zuhra,,,,3,1,,,,,
884,NQ138,??? ???? ?? ??? ???? ?? ????,Quraysh,Qusayy,Umayyad,5,????? ??? ???? ?? ????? ?? ??????,Qays Aylan,Sulaym,,,,,2,2,,,,
881,NQ137,??? ???? ?? ??? ???? ?? ????,Quraysh,Qusayy,Umayyad,5,???? ??? ???? ?? ???? ?? ??????? ?? ?????? ?? ???? ??????,Thaqif,,,,,,2,2,,,,
1134,NQ187,???? ?? ??? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,5,???? ??? ??? ???? ?? ????,Quraysh,Qusayy,Umayyad,,,5,2,,,,,
867,NQ135,?????? ?? ??? ?? ????,Quraysh,Qusayy,Umayyad,5,???? ??? ??? ?????? ?? ????,Quraysh,Qusayy,Hashim,,,4,,1,,,,
979,NQ159,????? ?? ??? ?????? ?? ????,Quraysh,Qusayy,Umayyad,5,????? ??? ???? ?? ????? ?? ???? ?? ??? ????? ?? ??? ?? ???? ?? ??? ?? ??? ?? ???,Ghatafan,Murra b. Awf,,,,,5,4,,,,
976,NQ159,????? ?? ??? ?????? ?? ????,Quraysh,Qusayy,Umayyad,5,???? ??? ????? ?? ????? ?? ???? ?? ???? ?? ??? ?? ?? ?? ???? ?? ???? ?? ?????? ?? ????? ?? ???? ?? ?????,Kinana,,,,,,5,2,,,,
986,NQ160,????? ?? ??? ?????? ?? ????,Quraysh,Qusayy,Umayyad,5,??????? ??? ???? ?? ???? (?? ????? ?? ??? ???),Quraysh,Qusayy,Abd Shams,,,6,1,,,,,
981,NQ159,????? ?? ??? ?????? ?? ????,Quraysh,Qusayy,Umayyad,5,?? ??????? ??? ?????? ?? ??? ?? ??? ???? ?? ???? ?? ??? ?? ???? ?? ???? ?? ???? ?? ???? ?? ???? ?? ??? ?? ???/???? ?? ???? ?? ??? ?? ?????,Thaqif,,,,,,3,3,,,,
984,NQ160,????? ?? ??? ?????? ?? ????,Quraysh,Qusayy,Umayyad,5,??? ???? ?? ???? ?? ??????? ?? ???? ?? ???? ?? ??? ?? ????,Thaqif,,,,,,5,1,,,,
1087,NQ173,??????? ?? ??? ??????,Quraysh,Qusayy,Umayyad,5,???? ??? ????? ?? ???? ?? ??? ?? ??? ?????,Quraysh,Qusayy,Asad,,,5,1,,,,,
1419,NQ267,????? ?? ???? ?? ????? (?? ??? ???),Quraysh,Qusayy,Umayyad,5,???? ??? ???? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,,,5,1,,,,,
1100,NQ174,???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,5,?? ???? ??? ???? ?? ??? ????? ?? ???? ?? ???? ?? ??? ?? ??? ?? ??? ,Kinana,Layth,,,,,1,,,,,
1095,NQ174,???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,5,???? ??? ??????? ?? ??? ???? ?? ??? ?? ?????,Quraysh,Makhzum,,,,4,4,,,,,
1096,NQ174,???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,5,??? ??? ??????? ?? ??? ???? ?? ??? ?? ?????,Quraysh,Makhzum,,,,4,2,1,,,,
887,NQ138,???? ?? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,5,???? ??? ??? ???? ?? ??? ???? ?? ????,Quraysh,Qusayy,Umayyad,,,6,,,,,,
85,NQ18,???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,5,???? ??? ???? ?? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,,,,6,1,,,,,
2009,NQ381,???? ?? ??? ?????? ?? ????,Quraysh,Qusayy,Umayyad,5,??????? ??? ?????,Concubine of Anaza b. Asad b. Rabi'a,,,,,,,1,,,,
864,NQ134,???? ?? ??? ?? ????,Quraysh,Qusayy,Umayyad,5,??????? ??? ??? ?? ???? ?? ??? ????,Quraysh,Qusayy,,,,4,1,1,,,,
2256,NQ425,???? ?? ??? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,5,???? ??? ??? ?? ???? ?? ??? ????,Quraysh,Qusayy,Nawfal,,,4,1,,,,,
878,NQ137,???? ?? ??? ????,Quraysh,Qusayy,Umayyad,5,??? ??? ??? ????? ?? ????? ?? ??? ????? ?? ???,Quraysh,Qusayy,Abd al-Dar,,,,,1,,,,
871,NQ137,????? ?? ??? ???? ?? ????,Quraysh,Qusayy,Umayyad,5,Unnamed,,,,,,,,1,,,,
1075,NQ171,???? ?? ????? ?? ??? ??????,Quraysh,Qusayy,Umayyad,6,?? ????? ??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Umayyad,,,8,2,1,,,,
1066,NQ170,?????? ?? ????? ?? ??? ??????,Quraysh,Qusayy,Umayyad,6,??? ???? ?? ????? ?? ?????,Khuza'a ,,,,,,,1,,,,
1068,NQ170,?????? ?? ????? ?? ??? ??????,Quraysh,Qusayy,Umayyad,6,????? ??? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,,7,2,,,,,
1065,NQ170,?????? ?? ????? ?? ??? ??????,Quraysh,Qusayy,Umayyad,6,??????? ??? ??????? ?? ??? ?? ???? ????? ?? ??? ?? ????? ?? ??? ?? ??? ?? ??? ?? ??? ???? ?? ????,Tamim,Zayd Mana'a,,,,,4,,,,,
1101,NQ176,?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,6,?? ????? ??? ???? ?? ??? ???? ?? ??? ??? ?? ??? ?? ?? ??? ?? ???? ?? ??? ?? ???? ?? ???,Quraysh,Amir b. Lu'ayy,,,,5,1,,,,,
1083,NQ172,???? ?? ????? ?? ??? ??????,Quraysh,Qusayy,Umayyad,6,???? ??? ??? ???? ?? ??? ???? ?? ???? ?? ???? ?? ??? ????? ?? ?????,Aws,Harith,,,,,,1,,,,
1136,NQ188,???? ?? ???? ?? ??? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,6,???? ??? ??? ???? ?? ????? ?? ???? ?? ??????? ?? ?????? ?? ???? ?? ?????? ?? ???? ?? ???? ?? ??? ?? ????,Thaqif,,,,,,3,,,,,
1587,NQ303,???? ?? ???? ?? ??????,Quraysh,Qusayy,Umayyad,6,?? ???? ??? ?????? ?? ???? ?? ??????? ?? ??? ???? ?? ??? ?? ????? ?? ???? ?? ??? ?? ??? ?? ??? ?? ???? ?? ???,Quraysh,Makhzum,,,,6,,,,,,
1074,NQ171,??? ?????? ?? ????? ?? ??? ??????,Quraysh,Qusayy,Umayyad,6,?? ?????? ??? ??? ???? ?? ???? ?? ????,Quraysh,Qusayy,Umayyad,,,8,2,,,,,
1135,NQ187,???? ?? ???? ?? ??? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,6,?????? ??? ??? ??? ?? ???? ?? ???????  (?? ??????? ?? ??? ?? ?????),Quraysh,Makhzum,,,,6,1,,,,,
904,NQ147,???? ?? ??? ???? ?? ??? ???? ?? ????,Quraysh,Qusayy,Umayyad,6,???? ??? ???? ?? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Abd Shams,,,6,,,,,,
1088,NQ173,?????? ?? ??????? ?? ??? ??????,Quraysh,Qusayy,Umayyad,6,????? ??? ???? ?? ???? ?? ?????? ?? ????? ?? ??? ?? ??? ?? ???,Quraysh,Jumah,,,,7,,1,,,,
1077,NQ171,???? ?? ????? ?? ??? ??????,Quraysh,Qusayy,Umayyad,6,?? ????? ??? ???? ?? ????? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,,,7,2,,,,,
1080,NQ172,???? ?? ????? ?? ??? ??????,Quraysh,Qusayy,Umayyad,6,???? ??? ??? ?????? ?? ?????? ?? ????,Quraysh,Makhzum,,,,7,1,1,,,,
1078,NQ171,???? ?? ????? ?? ??? ??????,Quraysh,Qusayy,Umayyad,6,?? ?????? ??? ???? ?? ????? ?? ????? ?? ??? ?? ???,Unknown,,,,,,2,1,,,,
896,NQ146,?????? ?? ???? ?? ??? ???? ?? ??? ???? ?? ????,Quraysh,Qusayy,Umayyad,7,?????? ??? ?? ?????? ?? ??? ??? ?? ?????,Asad b. Khuzayma,,,,,,1,,,,,
1121,NQ181,???? ?? ???? (?? ??? ???? ?? ??? ???? ?? ????),Quraysh,Qusayy,Umayyad,7,???? ??? ???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,,,8,,,,,,
897,NQ147,???? ?? ???? ?? ??? ???? ?? ??? ???? ?? ????,Quraysh,Qusayy,Umayyad,7,????? ??? ?????? ?? ???? ?? ????? ?? ?????? ?? ??? ?????? (?? ???? ?? ??? ?? ???? ?? ??? ?? ???),Kalb,,,,,,1,,,,,
824,NQ131,???? ?? ?????? ?? ???? ?? ??????,Quraysh,Qusayy,Umayyad,7,????? ??? ???? ?? ??? ???? ??????,Bajila,,,,,,,1,,,,
1622,NQ308,???? ?? ?????? ?? ???? ?? ?????? (?? ????),Quraysh,Qusayy,Umayyad,7,?? ???? ??? ??? ?????? ?? ?????? ?? ???? (?? ???????),Quraysh,Makhzum,,,,7,,,,,,
1120,NQ181,???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,7,??? ???? ?? ???? ?? ????,Bajila,,,,,,,3,,,,
1117,NQ181,???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,7,????? ??? ???? ?? ??? ???? ??????,Bajila,,,,,,1,1,,,,
1105,NQ180,???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,7,Woman of Kinana,Kinana,,,,,,1,,,,,
1110,NQ180,???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,7,?? ???? ??? ???? ?? ???? ?? ???? ?? ???? ?? ???? ?? ????,Qays Aylan,Amir b. Sa'sa'a,Malik of Ja'far of Kilab,,,,1,,,,,
1116,NQ181,???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,7,??? ???? ?? ??? ?? ????? ?? ??? ?? ?????? ?? ????,Qays Aylan,Amir b. Sa'sa'a,Kilab b. Rabi'a,,,,1,,,,,
1102,NQ178,???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,7,?? ?????? ??? ????? ?? ??? ?????? ?? ????,Quraysh,Qusayy,Umayyad,,,6,2,,,,,
1103,NQ179,???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,7,?? ???? ??? ???? ?? ???? ?? ??? ?? ???? ?? ??? ????,Quraysh,Qusayy,,,,6,1,,,,,
1106,NQ180,???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,7,?? ???? ??? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,,7,4,1,,,,
1111,NQ180,???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,7,??? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,,7,1,,,,,
1104,NQ179,???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,7,??????? ??? ???? ?? ???? ?? ????? ?? ?????? ?? ???? ?? ??? ?? ??? ?? ??? ?? ???? ?? ???? ?? ??? ???????,Yemen ,Madhhij,,,,,1,,,,,
2216,NQ420,??? ?????? ?? ???? ?? ???? (?? ??? ????? ?? ???? ?? ??? ???),Quraysh,Qusayy,Umayyad,7,??? ??? ???? ?? ???? ?? ??? ??? ?? ??? ?? ?? ??? ?? ???? ?? ??? ?? ???? ?? ??? ?? ????,Quraysh,Amir b. Lu'ayy,,,,5,,,,,,
1151,NQ193,??? ?????? ?? ???? ?? ???? ?? ??? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,7,??? ??? ???? ?? ???? (?? ??? ?? ???? ?? ????? ?? ??? ?? ??? ???? ?? ????),Tamim,,,,,,1,,,,,
2014,NQ382,??? ?????? ?? ?????? ?? ?????,Quraysh,Qusayy,Umayyad,7,????? ??? ??????? ?? ??? ?? ???? ?? ??? ????? ?? ????? ?? ??? ?? ???? ?? ???? ?? ??? ?? ???,Quraysh,Adi b. Ka'b,,,,7,1,,,,,
1365,NQ253,??? ???? ?? ???? ?? ???? (?? ??? ?????),Quraysh,Qusayy,Umayyad,7,?? ????/??? ??? ???? ?? ????? ?? ???? ?? ??? ???? ?? ??? ????? ?? ????? ?? ??? ????? ?? ??? ,Quraysh,Qusayy,Abd al-Dar,,,8,,,,,,
662,NQ112,??? ???? ?? ???? ?? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,7,?? ???? ??? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,,7,,,,,,
661,NQ112,??? ???? ?? ???? ?? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,7,?? ????? ??? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,,7,,,,,,
1142,NQ191,??? ???? ?? ???? ?? ???? ?? ??? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,7,???? ??? ??? ?? ????? ?? ??? ???????,Ghatafan,Fazara,,,,,2,,,,,
1137,NQ188,??? ???? ?? ???? ?? ???? ?? ??? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,7,??? ???????,Persian,,,,,,1,,,,,
1140,NQ190,??? ???? ?? ???? ?? ???? ?? ??? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,7,?? ???? ??? ???? ?? ???? ?? ??? ?? ???? ?? ??? ????,Quraysh,Qusayy,,,,6,2,,,,,
1143,NQ192,??? ???? ?? ???? ?? ???? ?? ??? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,7,????? ??? ???? ?? ??? ???? ?? ?????,Yemen,Madhhij,Murad,,,,2,4,,,,
991,NQ160,??? ????? ?? ?????? ?? ?????,Quraysh,Qusayy,Umayyad,7,?? ????? ??? ????? ?? ????? ?? ??? ?????? ?? ????,Quraysh,Qusayy,Umayyad,,,7,,,,,,
1069,NQ170,??? ????? ?? ?????? ?? ????? ?? ??? ??????,Quraysh,Qusayy,Umayyad,7,?? ???? ??? ??? ?????? ?? ?????,Quraysh,Qusayy,Umayyad,,,7,1,1,,,,
1071,NQ170,??? ????? ?? ?????? ?? ????? ?? ??? ??????,Quraysh,Qusayy,Umayyad,7,?????? ??? ???? ?? ?????? ???????,Unknown,,,,,,,,,,,
1084,NQ172,????? ?? ???? ?? ????? ?? ??? ??????,Quraysh,Qusayy,Umayyad,7,?? ??? ???? ??? ???? ?? ????? ?? ??? ??????,Quraysh,Qusayy,Umayyad,,,7,,1,,,,
663,NQ112,????? ?? ?????? ?? ????? ?? ??? ??????,Quraysh,Qusayy,Umayyad,7,????? ??? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,,7,,,,,,
1073,NQ171,??????? ?? ??? ????? ?? ?????? ?? ????? ?? ??????,Quraysh,Qusayy,Umayyad,8,?? ????? ??? ?????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,8,5,,,,,
666,NQ112,???? ?? ?????? ?? ???? ?? ??? ???? ?? ??? ???? ?? ????,Quraysh,Qusayy,Umayyad,8,???? ??? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,,7,,,,,,
1149,NQ192,???? ?? ??? ???? ?? ???? ?? ???? ?? ??? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,8,????? ??? ??? ???? ?? ??? ?? ???? ?? ???? ?? ????? ???????,Khuza'a ,,,,,,2,,,,,
482,NQ76,???? ?? ??? ???? ?? ???? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,8,????? ??? ??? ???? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,,8,,,,,,
1046,NQ168,??? ???? ?? ??? ?????? ?? ?????? ?? ?????,Quraysh,Qusayy,Umayyad,8,???? ??? ???? ?? ????? ?? ?????,Quraysh,Qusayy,Umayyad,Marwanid,,8,,1,,,,
1128,NQ182,???? ?? ???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,8,?? ???? ??? ???? ?? ???? ?? ??? ????,Udhra,,,,,,4,1,,,,
1125,NQ181,???? ?? ????? ?? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,8,????? ??? ???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,,,8,,,,,,
1131,NQ182,???? ?? ???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,8,?? ???? ??? ???? ???? ?? ??? ?? ??????,Quraysh,Adi b. Ka'b,,,,7,1,,,,,
1911,NQ363,???? ?? ???? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,9,?? ???? ??? ??? ??? ?? ???? ???? ?? ??? ?? ??????,Quraysh,Adi b. Ka'b,,,,9,,,,,,
697,NQ116,???? ?? ???? ?? ??? ???? ?? ???? ?? ???? (??? ?????),Quraysh,Qusayy,Umayyad,9,????? ??? ???? ?? ?????? ?? ??????,Quraysh,Qusayy,Asad,Zubayrid,,8,,2,,,,
