Numbering,Source,HusbandName,HusbandTribe ,HusbandSubtribe1,HusbandSubtribe2,HusbandSubtribe3,HusbandGeneration ,WifeName,WifeTribe,WifeSubtribe1,WifeSubtribe2,WifeSubtribe3,WifeGeneration,Sons,Daughters,H Lat,H Lng,W Lat,W Lng
786,NQ125,??? ????? ?? ??? ?? ????,Quraysh,Qusayy,Umayyad,Sufyanid,5,??? ??? ???? ?? ????? ?? ??? ???,Quraysh,Qusayy,Abd Shams,,5,1,2,,,,
836,NQ132,??? ???? ?? ?????? ?? ??? ????? ?? ???,Quraysh,Qusayy,Umayyad,Sufyanid,7,??? ?????? ??? ??? ???? ?? ???? ?? ???? ?? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Abd Shams,,8,,1,,,,
918,NQ150,???? ?? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,?? ????? ??? ??? ???? ?? ???? ?? ???? ?? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Abd Shams,,8,,,,,,
806,NQ128,???? ?? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,?? ???? ??? ??? ???? ?? ???? ?? ?????,Quraysh,Qusayy,Abd Shams,,5,2,,,,,
807,NQ129,???? ?? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,?? ????? ??? ??? ???? ?? ???? ?? ???? ?? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Abd Shams,,7,1,1,,,,
859,NQ134,????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,6,???? ??? ?????? ?? ??????,Quraysh,Qusayy,Asad,Zubayrid,6,1,2,,,,
851,NQ133,?????? ?? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,????? ??? ???? ???? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,Abbasid,,,,,,,
535,NQ83,???? ?? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,?? ???? ??? ??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,,7,,,,,,
818,NQ131,??? ???? ?? ???? ?? ???? ?? ?????? ?? ??? ????? ?? ???,Quraysh,Qusayy,Umayyad,Sufyanid,9,????? ??? ???? ???? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,,,,,,,
801,NQ128,?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,6,????? ??? ???? ?? ??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Nawfal,,5,1,1,,,,
1205,NQ204,?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,6,???? ??? ???? ?? ??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Nawfal,,5,,,,,,
632,NQ100,??? ????? ?? ??? ?? ????,Quraysh,Qusayy,Umayyad,Sufyanid,4,???? ??? ??? ?????? ?? ???? ?????? ?? ??? ???,Quraysh,Qusayy,Umayyad,,5,1,1,,,,
791,NQ126,??? ????? ?? ??? ?? ????,Quraysh,Qusayy,Umayyad,Sufyanid,5,???? ??? ??? ???? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,,5,1,2,,,,
794,NQ126,??? ????? ?? ??? ?? ????,Quraysh,Qusayy,Umayyad,Sufyanid,5,????? ??? ??? ?????? ?? ????,Quraysh,Qusayy,Umayyad,,5,,1,,,,
865,NQ134,????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,6,???? ??? ???? ?? ??? ?? ????,Quraysh,Qusayy,Umayyad,,6,1,,,,,
814,NQ130,????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,6,?? ????? ??? ???? ?? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,8,,1,,,,
789,NQ126,?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,6,???? ??? ???? ?? ??? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,Sufyanid,6,,,,,,
854,NQ133,?????? ?? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,???? ??? ???? ?? ??????,Quraysh,Qusayy,Umayyad,,8,,,,,,
813,NQ130,???? ?? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,?? ??? ?????? ??? ???? ?? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,8,,,,,,
845,NQ132,??? ?????? ?? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,????? ??? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,1,,,,,
759,NQ121,??? ???? ?? ?????? ?? ??? ????? ?? ???,Quraysh,Qusayy,Umayyad,Sufyanid,7,????? ??? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,8,,,,,,
812,NQ130,???? ?? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,???? ??? ???? ?? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,8,,,,,,
860,NQ134,????? ?? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,????? ??? ????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,,,,,,
811,NQ130,???? ?? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,?? ???? ??? ???? ?? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,8,,,,,,
805,NQ128,???? ?? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,????? ??? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,,,,,,
1122,NQ181,???? ?? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,???? ??? ???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,,8,,,,,,
810,NQ130,?????? ?? ??? ?????? ?? ????? ?? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,8,?? ???? ??? ???? ?? ?????? ?? ??? ????? ,Quraysh,Qusayy,Umayyad,Sufyanid,8,1,,,,,
1107,NQ180,???? ?? ???? ?? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,8,???? ??? ???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,,8,1,,,,,
1002,NQ162,???? ?? ???? ?? ?????? ,Quraysh,Qusayy,Umayyad,Sufyanid,8,????? ??? ??? ????? ?? ????? ?? ????? ?? ??? ?????? ?? ????,Quraysh,Qusayy,Umayyad,Marwanid,8,,,,,,
1115,NQ181,??? ?????? ?? ???? ?? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,8,???? ??? ???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,,8,1,,,,,
823,NQ131,??? ???? ?? ???? ?? ??????,Quraysh,Qusayy,Umayyad,Sufyanid,8,?? ????? ??? ???? ?? ?????? ?? ???? ?? ??????,Quraysh,Qusayy,Umayyad,,8,2,,,,,
832,NQ132,??? ???? ?? ???? ?? ??????,Quraysh,Qusayy,Umayyad,Sufyanid,8,?? ????? ??? ????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,,1,,,,
834,NQ132,??? ???? ?? ???? ?? ??????,Quraysh,Qusayy,Umayyad,Sufyanid,8,?? ???? ??? ???? ?? ???? ?? ??????,Quraysh,Qusayy,Umayyad,,8,,1,,,,
830,NQ131,??? ???? ?? ???? ?? ??????,Quraysh,Qusayy,Umayyad,Sufyanid,8,????? ??? ??? ???? ?? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,8,,2,,,,
822,NQ131,???? ?? ?????? ?? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,8,?? ???? ??? ??? ?????? ?? ???? (?? ??????),Quraysh,Qusayy,Umayyad,Sufyanid,9,1,1,,,,
829,NQ131,???? ?? ???? ?? ????,Quraysh,Qusayy,Umayyad,Sufyanid,9,????? ??? ???? ?? ???? ?? ??????,Quraysh,Qusayy,Umayyad,Sufyanid,9,,,,,,
831,NQ132,????? ?? ???? ?? ????? ?? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,9,?? ????? ??? ??? ???? ?? ???? ?? ??????,Quraysh,Qusayy,Umayyad,Sufyanid,9,,,,,,
1894,NQ360,???? ?? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,?? ????? ??? ??? ?? ???? ?? ??? ?? ?????? ?? ???? ?? ??? ????? ?? ???? ?? ??? ???? ?? ??? ?? ???? ?? ??? ?? ??? ?? ??? ?? ???? ?? ???,Quraysh,Adi b. Ka'b,,,9,,,,,,
798,NQ126,??? ????? ?? ??? ?? ????,Quraysh,Qusayy,Umayyad,Sufyanid,5,Unnamed,Kinana,Al-Harith b. 'Abd Manaa,,,,,1,,,,
840,NQ132,???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,6,??? ??? ?? ???? ?? ??? ?? ??? ??? ?? ??? ?? ?? ??? ?? ???? ?? ???,Quraysh,Amir b. Lu'ayy,,,6,1,,,,,
787,NQ126,??? ????? ?? ??? ?? ????,Quraysh,Qusayy,Umayyad,Sufyanid,5,???? ??? ???? ?? ??? ?? ????? ?? ????? ?? ???? ?? ????? ?? ???? ?? ??? ?? ???? ?? ?????,Kinana,Firas b. Ghanam,,,,1,,,,,
788,NQ126,???? ?? ??? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,Sufyanid,6,???? ??? ???? ?? ??? ?? ????? ?? ????? ?? ???? ?? ????? ?? ???? ?? ??? ?? ???? ?? ?????,Kinana,Firas b. Ghanam,,,,1,1,,,,
1609,NQ306,?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,6,????? ??? ??? ?????? ?? ?????? ?? ???? (?? ???????),Quraysh,Makhzum,,,7,,,,,,
846,NQ133,?????? ?? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,?? ???? ??? ??? ?????? ?? ?????? ?? ???? (?? ???????),Quraysh,Makhzum,,,7,1,2,,,,
1598,NQ306,??? ???? ?? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,?? ???? ??? ??? ?????? ?? ?????? ?? ???? (?? ???????),Quraysh,Makhzum,,,7,,,,,,
790,NQ126,??? ????? ?? ??? ?? ????,Quraysh,Qusayy,Umayyad,Sufyanid,5,????? ??? ??? ????? ?? ???? ?? ?????? ?? ??? ?? ?????? ?? ??? ???? ?? ?????? ??????? ?? ?????,Azd,,,,,2,,,,,
843,NQ132,???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,6,????? ??? ???? ?? ????,Tamim ,,,,5,3,,,,,
841,NQ132,???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,6,?? ????  ??? ???? ?? ????? ?? ???? ??????,Thaqif,,,,,1,,,,,
863,NQ134,???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,6,?? ????? ??? ???? ?? ?????? ?? ????,Thaqif,,,,,1,,,,,
800,NQ127,?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,6,????? ??? ???? ?? ???? ?? ???? ?? ????? ?? ??? ?? ???? ?? ????? ?? ????,Kalb,,,,,1,,,,,
855,NQ133,???? ?? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,?? ??? ???? ?? ???? ?? ??? ?????,Thaqif/Quraysh (by adoption),,,,,1,,,,,
857,NQ133,???? ?? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,?? ?????? ??? ???? ?? ??? ?????,Thaqif/Quraysh (by adoption),,,,,2,,,,,
821,NQ131,??? ?????? ?? ???? (?? ??????),Quraysh,Qusayy,Umayyad,Sufyanid,8,????? ??? ???? ?? ???? ?? ???? ?? ???? ?? ??? ?? ??? ?? ???? ?? ???,Kalb,,,,,,1,,,,
819,NQ131,??? ???? ?? ???? ?? ??????,Quraysh,Qusayy,Umayyad,Sufyanid,8,????? ??? ???? ?? ???? ?? ???? ?? ???? ?? ??? ?? ??? ?? ???? ?? ???,Kalb,,,,,1,1,,,,
