"Source","HusbandName","HusbandTribe","HusbandSubtribe1",,,,"Source for non-Qurashi tribal affiliation","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ447","محارب بن فهر","Quraysh",,,,,,-5,"Unnamed","Khuza'a",,,,,,1,,,,,
"NQ433","معيص بن عامر بن لؤى","Quraysh","Amir b. Lu'ayy",,,,,-2,"انيسة بنت كعب بن عمرو بن ربيعة من خزاعة","Khuza'a",,,,,,2,,,,,
"NQ369","عويج بن عدي بن كعب","Quraysh","Adi b. Ka'b",,,,,-1,"مخشية بنت عدي بن سلول بن كعب بن عمرو من خزاعة","Khuza'a",,,,,,1,,,,,
"NQ437","عمرو بن معيص بن عامر بن لؤى","Quraysh","Amir b. Lu'ayy",,,,,-1,"دعد بنت سعد بن كعب بن عمرو من خزاعة","Khuza'a",,,,,,3,,,,,
"NQ346","قرط بن رزاح بن عدى بن كعب بن لؤى بن غالب بن فهر","Quraysh","Adi b. Ka'b",,,,,0,"ليلى بنت سليم بن بوى بن ملكان بن افصى من خزاعة","Khuza'a",,,,,,,,,,,
"NQ436","حجر بن عبد بن معيص بن عامر بن لؤى","Quraysh","Amir b. Lu'ayy",,,,,0,"Unnamed","Khuza'a",,,,,,5,,,,,
"NQ386","جمح بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Jumah",,,,,0,"بنت بوى بن ملكان بن افصى من خزاعة","Khuza'a",,,,,,2,,,,,
"NQ14","قصىّ بن كلاب","Quraysh","Qusayy",,,,,0,"حبى بنت حليل بن حبشة بن سلول بن كعب بن عمرو (بن ربيعة بن حارثة بن عمرو بن عامر بن حارثة بن آمرىء القيس بن ثعلبة بن مازن بن الازد(JMY 439) من خزاعةبن","Khuza'a",,,,,,4,2,,,,
"NQ400","سهم بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Sahm",,,,,0,"Unnamed","Khuza'a",,,,,,1,,,,,
"NQ257","زهرة بن كلاب بن مرة بن كعب","Quraysh","Zuhra",,,,,0,"جمل بنت مالك بن قصية بن سعد بن مليح بن عمرو من خزاعة","Khuza'a ",,,,,,1,,,,,
"NQ250","عبد الدار بن قصى","Quraysh","Qusayy",,,,,1,"هند بنت بوى بن ملكان بن خزاعة","Khuza'a ",,,,,,2,,,,,
"NQ408","سعيد بن سهم","Quraysh","Sahm",,,,,1,"Unnamed - الخزاعية","Khuza'a",,,,,,,1,,,,
"NQ275","كعب بن سعد بن تيم بن مرة","Quraysh","Taym b. Murra",,,,,1,"ليلى بنت عامر الجان بن غبشان من خزاعة","Khuza'a ",,,,,,1,,,,,
"NQ265","الحارث بن زهرة بن كلاب بن مرة بن كعب","Quraysh","Zuhra",,,,,1,"قيلة بنت ابو قيلة/وجز بن غالب بن عامر بن الحارث/غبشان/ابو كبشة بن عبد عمرو بن ملكان بن افصى من خزاعة","Khuza'a ",,,,,,2,,,,,
"NQ261","عبد مناف بن زهرة بن كلاب بن مرة بن كعب","Quraysh","Zuhra",,,,,1,"قيلة بنت ابو قيلة/وجز من حزاعة (بن غالب بن عامر بن الحارث/غبشان/ابو كبشة بن عبد عمرو بن ملكان بن افصى)","Khuza'a ",,,,,,3,,,,,
"NQ265","عبد مناف بن زهرة بن كلاب بن مرة بن كعب","Quraysh","Zuhra",,,,,1,"قيلة بنت ابو قيلة/وجز بن غالب بن عامر بن الحارث/غبشان/ابو كبشة بن عبد عمرو بن ملكان بن افصى من خزاعة","Khuza'a ",,,,,,2,,,,,
"NQ16","هاشم بن عبد مناف","Quraysh","Qusayy","Hashim",,,,2,"قيلة/الجزور بنت عامر بن مالك بن المصطلق/جذيمة بن سعد بن عمرو بن ربيعة بن حارثة (بن عمرو بن عامر بن حارثة بن آمرىء القيس بن ثعلبة بن مازن بن الازد JMY 439)","Khuza'a",,,,,,1,,,,,
"NQ381","حرثان بن عوف بن عبيد بن عويج بن عدى بن كعب","Quraysh","Adi b. Ka'b",,,,,2,"سلمى بنت جعونة بن عبد بن حبتر بن خزاعة","Khuza'a",,,,,,1,,,,,
"NQ299","عبد الله بن عمر بن مخزوم بن يقظة بن مرة بن كعب بن لؤى بن غالب بن فهر","Quraysh","Makhzum",,,,,2,"برة بنت ساعدة بن مشنق بن عبد بن حبتر من خزاعة","Khuza'a ",,,,,,1,,,,,
"NQ342","هرمى بن عامر بن مخزوم","Quraysh","Makhzum",,,,,2,"لبنى بنت سويد بن اسعد بن مشنق بن عبد بن حبتر","Khuza'a",,,,,,1,,,,,
"NQ256","السباق بن عبد الدار بن قصى","Quraysh","Qusayy",,,,,2,"Unnamed","Khuza'a ",,,,,,2,,,,,
"NQ405","حذافة بن سعد بن سهم بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Sahm",,,,,2,"بنت ظالم بن منقد بن سبيع الخزاعية","Khuza'a",,,,,,2,,,,,
"NQ229","خويلد بن اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad",,,,3,"بنت عبد العزى بن ربيعة بن حزن بن عامر بن مازن بن عدى بن عمرو بن خزاعة","Khuza'a ",,,,,,1,,,,,
"NQ18","عبد المطّلب بن هاشم","Quraysh","Qusayy","Hashim",,,,3,"لبنى بنت هاجر بن عبد مناف بن ضاطر بن حبشية بن سلول من خزاعة","Khuza'a",,,,,,1,,,,,
"NQ18","عبد المطّلب بن هاشم","Quraysh","Qusayy","Hashim",,,,3,"Unnamed woman","Khuza'a",,,,,,1,,,,,
"NQ367","اذاة بن رياح بن عبد الله بن قرط بن رزاح بن عدى بن كعب","Quraysh","Adi b. Ka'b",,,,,3,"اميمة بنت تيم بن سعد بن كعب بن عمرو من خزاعة","Khuza'a",,,,,,,1,,,,
"NQ379","اسيد بن عبد بن عوف بن عبيد بن عويج بن عدى بن كعب","Quraysh","Adi b. Ka'b",,,,,3,"ام عمرو بنت عصير بن الاصم بن جذيمة بن حرام بن عامر بن سعد بن عمرو من خزاعة","Khuza'a",,,,,,1,,,,,
"NQ368","خلف بن صداد بن عبد الله بن قرط","Quraysh","Adi b. Ka'b",,,,,3,"هند بنت سويد بن اسعد بن مشنق بن حبتر من خزاعة","Khuza'a",,,,,,4,,,,,
"NQ369","غانم بن عامر بن عبد الله بن عبيد بن عويج بن عدي بن كعب","Quraysh","Adi b. Ka'b",,,,,3,"هند بنت ابو شاس/مخلع بن مخلع بن قيس بن عبد بن دعبل (بن أنس بن خزيمة بن مالك بن سلامان بن أسلم بن أفصى)","Khuza'a",,,,,,3,,,,,
"NQ418","عمرو بن عبد شمس بن عبد ود بن نصر بن مالك بن حسل بن عامر بن لؤى بن غالب","Quraysh","Amir b. Lu'ayy",,,,,3,"حبى بنت قيس بن ضبيس بن ثعلبة بن حيان بن غنم بن مليح بن عمرو بن خزاعة","Khuza'a",,,,,,1,,,,,
"NQ399","سلامان بن ربيعة بن سعد بن جمح","Quraysh","Jumah",,,,,3,"Unnamed","Khuza'a",,,,,,1,,,,,
"NQ397","عمير بن اهيب بن حذافة بن جمح","Quraysh","Jumah",,,,,3,"هند بنت منقذ بن ربيع بن جعثمة بن سعد بن مليح","Khuza'a",,,,,,1,,,,,
"NQ399","معير بن لوذان بن سعد بن جمح","Quraysh","Jumah",,,,,3,"Unnamed","Khuza'a",,,,,,2,,,,,
"NQ399","وهب بن لوذان بن سعد بن جمح","Quraysh","Jumah",,,,,3,"Unnamed","Khuza'a",,,,,,1,,,,,
"NQ332","عثمان بن عبد الله بن عمر بن مخزوم","Quraysh","Makhzum",,,,,3,"قلابة بنت عمرو بن عبد الله بن سعد بن مشنق بن عبد بن حبتر","Khuza'a",,,,,,1,,,,,
"NQ96","علقمة بن المطلب","Quraysh","Qusayy",,,,,3,"ام عمرو بنت ابو الطلاطة من خزاعة","Khuza'a",,,,,,1,,,,,
"NQ97","علقمة بن المطلب","Quraysh","Qusayy",,,,,3,"سلمى بنت عامر بن بياضة","Khuza'a",,,,,,1,,,,,
"NQ403","عبد قيس بن عدى بن سعد بن سهم بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Sahm",,,,,3,"آمنة بنت عقيل بن كلاب بن عمير بن الضريبة بن عمرو بن الحر","Khuza'a","Adi",,,,,2,1,,,,
"NQ18","عبد العوف بن عبد بن الحارث بن زهرة بن كلاب","Quraysh","Zuhra",,,,,3,"Unnamed woman","Khuza'a",,,,,,1,,,,,
"NQ384","الاسود بن حارثة بن نضلة بن عوف بن عبيد بن عويج بن عدى بن كعب","Quraysh","Adi b. Ka'b",,,,,4,"العجماء بنت عامر بن الفضل بن عفيف بن كليب بن حبشية بن سلول بن كعب بن عمرو","Khuza'a",,,,,,2,1,,,,
"NQ396","العنبس بن وهبان بن وهب بن حذافة بن جمح بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Jumah",,,,,4,"دعد بنت بد بن جهمة من کعب خزاعة","Khuza'a","Ka'b",,,,,,,,,,
"NQ394","مظعون بن حبيب بن وهب بن حذافة بن جمح","Quraysh","Jumah",,,,,4,"ريطة بنت عبد عمرو بن نضلة بن غبشان من خزاعة","Khuza'a",,,,,,,1,,,,
"NQ205","الحارث بن عامر بن نوفل بن عبد مناف","Quraysh","Qusayy",,,,,4,"بنت عياض بن رافع من خزاعة","Khuza'a ",,,,,,1,,,,,
"NQ147","ربيعة بن حبيب بن عبد شمس","Quraysh","Qusayy",,,,,4,"ام سكن بنت ظالم بن منقذ بن سبيع بن جعثمة بن سعد بن مليح الخزاعي","Khuza'a ",,,,,,1,,,,,
"NQ205","عبيدة بن الحارث بن المطلب","Quraysh","Qusayy",,,,,4,"بنت عياض بن رافع من خزاعة","Khuza'a ",,,,,,,1,,,,
"NQ407","ابو وداعة بن صبيرة بن سعيد بن سعد بن سهم","Quraysh","Sahm",,,,,4,"خناس من بنو عجيمة بن اسعد بن مشنق بن عبد من خزاعة","Khuza'a",,,,,,1,,,,,
"NQ280","عبيد الله بن عثمان بن عمرو بن كعب بن سعد بن تيم بن مرة","Quraysh","Taym b. Murra",,,,,4,"Unnamed","Khuza'a ",,,,,,1,,,,,
"NQ235","عبد الرحمن بن العوام بن خويلد بن اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad",,,,5,"حمينة بنت عبد العزى بن قطن من بنو المصطلق","Khuza'a ","Mustaliq",,,,,2,,,,,
"NQ370","ابو الجهم بن حذيفة بن غانم بن عامر بن عبد الله بن عبيد بن عويج بن عدي بن كعب","Quraysh","Adi b. Ka'b",,,,,5,"ام كلثوم بنت جرول بن مالك بن المسيب بن ربيعة بن اصرم بن حبيش بن حرام بن حبشية من خزاعة","Khuza'a",,,,,,1,,,,,
"NQ349","ابو جهم بن حذيفة بن غانم (بن عامر بن عبد الله بن عبيد بن عويج بن عدي بن كعب)","Quraysh","Adi b. Ka'b",,,,,5,"ام كلثوم بنت جرول بن مالك بن المسيب من خزاعة","Khuza'a",,,,,,1,,,,,
"NQ367","المعتمر بن انس بن اذاة بن رياح بن عبد الله بن قرط بن رزاح بن عدى بن كعب","Quraysh","Adi b. Ka'b",,,,,5,"ام البنين بنت الاعظم بن جذيمة بن حرام بن عامر/الجبار بن سعد بن عمرو من خزاعة","Khuza'a",,,,,,1,,,,,
"NQ365","زيد بن نفيل بن عبد العزى بن رياح بن عبد الله بن قرط بن رزاح بن عدى بن كعب بن لؤى بن غالب بن فهر","Quraysh","Adi b. Ka'b",,,,,5,"فاطمة بنت بعجة بن امية بن خويلد بن خالد بن اليعمر من خزاعة","Khuza'a",,,,,,1,,,,,
"NQ382","عدى بن نضلة بن عبد العزى بن حرثان بن عوف بن عبيد بن عويج بن عدى بن كعب","Quraysh","Adi b. Ka'b",,,,,5,"بنت بعجة بن امية بن خويلد بن خلف الخزاعى","Khuza'a",,,,,,2,,,,,
"NQ289","عمر بن عبيد الله بن معمر بن عثمان بن عمرو بن كعب","Quraysh","Taym b. Murra",,,,,5,"رملة بنت عبد الله بن خلف بن اسعد (بن عامر بن بياضة الخزاعى)","Khuza'a ",,,,,,1,,,,,
"NQ170","الحارث بن الحكم بن ابو العاصى","Quraysh","Qusayy","Umayyad",,,,6,"بنت ذؤيب بن حلحلة من خزاعة","Khuza'a ",,,,,,,1,,,,
"NQ349","عمر بن الخطاب بن نفيل بن عبد العزى بن رياح بن عبد الله بن قرط بن رزاح بن عدى بن كعب بن لؤى بن غالب بن فهر","Quraysh","Adi b. Ka'b",,,,,6,"ام كلثوم بنت جرول بن مالك بن المسيب من خزاعة","Khuza'a",,,,,,2,,,,,
"NQ370","عمر بن الخطاب بن نفيل بن عبد العزى بن رياح بن عبد الله بن قرط بن رزاح بن عدى بن كعب بن لؤى بن غالب بن فهر","Quraysh","Adi b. Ka'b",,,,,6,"ام كلثوم بنت جرول بن مالك بن المسيب بن ربيعة بن اصرم بن حبيش بن حرام بن حبشية من خزاعة","Khuza'a",,,,,,1,,,,,
"NQ120","عمر بن عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",,,7,"ام الحكم بنت ذؤيب بن حلحلة بن عمرو بن كليب بن اصرم بن عبد الله بن قمير بن حبشية بن سلول بن كعب","Khuza'a",,,,,8,,1,,,,
"NQ192","خالد بن عبد الله بن خالد بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Umayyad",,,,8,"عائشة بنت عبد الله بن خلف بن اسعد بن عامر بن بياضة الخزاعى","Khuza'a ",,,,,,2,,,,,
